"artist","bdp","bdp_s","beg","beg_s","bsp","bsp_s","cdp","cdp_s","csp","csp_s","ddp","ddp_s","dsp","dsp_s","edp","edp_s","esp","esp_s","konami_id","sa4_id","title"
"Des-ROW feat. TSUBOI for ALPHA","5","0","4","0","4","0","14","0","13","0","8","0","8","0","13","0","12","0","I8lidoibqQqoQOqiDi6QiDbP9DIdd989","144","大見解"
"Sho-T","4","0","3","0","4","0","-1","0","-1","0","8","0","8","0","9","0","9","0","DibQ8O0bIodbdQo8D681qlqiDqllDPql","145","A Stupid Barber"
"D.J.Amuro","5","0","3","0","5","0","-1","0","-1","0","10","0","9","0","13","0","13","0","0DDo1ilPDQoIoPd8ol9OPO1IPbi9ii6d","146","AA"
"D.J. Spugna","4","0","3","0","5","0","-1","0","-1","0","8","0","7","0","9","0","9","0","d0q8IDbqDI686q9Dl09ll0Id6bIio9Pd","147","Bad Routine"
"Big Idea","3","0","1","0","3","0","-1","0","-1","0","6","0","10","0","10","0","11","0","lii9bbbIq08b6DIdQ16Q0QOPiOibliIO","148","Baile Le Samba"
"NM feat. Thomas Howard","4","0","2","0","5","0","-1","0","-1","0","7","0","7","0","9","0","8","0","ObP1P1OoDII9b9ll698Q981ilIddb8Id","149","BALLAD FOR YOU〜想いの雨〜"
"Berimbau '66","5","0","3","0","5","0","-1","0","-1","0","8","0","8","0","10","0","12","0","D0dI08oDqi11Oo819D6ob1dlDbPlIPl0","150","Brazilian Anthem"
"Mokky de Yah Yah's","4","0","1","0","3","0","-1","0","-1","0","9","0","7","0","11","0","12","0","DObld6O6OdblOo1di9dlP86DO909O6qI","151","cachaca"
"Vision F","3","0","3","0","4","0","-1","0","-1","0","6","0","6","0","10","0","10","0","68dqbIdOiiiiddlbb1OD66qq6d80I6D8","152","Can Be Real"
"NAOKI with Y&Co.","1","0","3","0","4","0","-1","0","-1","0","5","0","7","0","8","0","8","0","8IdP90DQDi9bqodPqDQIIqOqOO08PPio","153","CAN'T STOP FALLIN' IN LOVE -super euro version-"
"Jimmy Weckl","6","0","4","0","6","0","-1","0","-1","0","9","0","9","0","12","0","12","0","bd8o99iPI9lqOl1Q8P68lbQOlo8Oq1qO","154","CENTAUR"
"DE-SIRE retunes","9","0","6","0","8","0","15","0","16","0","12","0","12","0","14","0","14","0","8o1iQPiId8P6Db9Iqo1Oo119QDoq8qQ8","155","CHAOS"
"D-crew","4","0","2","0","3","0","-1","0","-1","0","5","0","7","0","12","0","10","0","ilIbq9Db1d86PIo0b96qdd0oPOQ6bqi1","156","CURUS"
"TЁЯRA","5","0","4","0","5","0","14","0","13","0","8","0","8","0","12","0","12","0","OO0QbD9D6QQIb10Q9IDOQd8odb6ob6qP","157","DoLL"
"Kozo Nakamura","9","0","5","0","9","0","-1","0","-1","0","11","0","10","0","11","0","11","0","PD9lP16dllbPqbdIO0Ii0I8D1I90QIIl","158","Dragon Blade"
"2MB","10","0","9","0","11","0","17","0","18","0","13","0","13","0","17","0","16","0","8QbqP80q9PI8bbi0qOoiibOQD08OPdli","159","Fascination 〜eternal love mix〜"
"100-200-400","10","0","6","0","11","0","18","0","18","0","13","0","13","0","17","0","17","0","O6llIdODQD6oDQ6QiPQDOlob9i8l6qib","160","Fascination MAXX"
"Scotty D. revisits U1","6","0","4","0","5","0","-1","0","-1","0","9","0","9","0","11","0","12","0","dDOdPQOqD6P68dIOl6O6I8q99Q6dd9Ob","161","Flow"
"Scotty D. revisits U1","6","0","4","0","6","0","14","0","13","0","9","0","9","0","12","0","12","0","0D096II0i9l0doPlbPQbiPo1IQDDoOP0","162","Flow (True Style)"
"ChiyoTia","3","0","3","0","4","0","-1","0","-1","0","8","0","7","0","11","0","11","0","d96OiPiOIboqI8o6PIDO8D9qPb9P18il","163","Fly away"
"Chel Y.","3","0","3","0","4","0","-1","0","-1","0","6","0","7","0","8","0","8","0","Q8Ioq8POo69ol8bPiOPQPq61oqoPo0DO","164","Forever Sunshine"
"BeForU","4","0","3","0","5","0","-1","0","-1","0","7","0","7","0","11","0","11","0","PPddP6OOldodoOPqiId19Pd919OOid61","165","Freedom"
"Funk Kid feat. KOOL BOYS","4","0","4","0","5","0","-1","0","-1","0","6","0","4","0","8","0","8","0","i6Q00D16PbbQPl19oibiiQ6qQD01D6o8","166","Funk Boogie"
"THE SURRENDERS","5","0","4","0","3","0","-1","0","-1","0","7","0","8","0","11","0","10","0","b0Po680ibI600ObOi6qqidI06oqo0Olq","167","GORGEOUS 2012"
"jun with TAHIRIH","3","0","4","0","4","0","-1","0","-1","0","8","0","8","0","11","0","12","0","8DdIqobi0liOPDO1qld6lQ9Dq00I66qi","168","HAPPY☆ANGEL"
"DE-STRAD","9","0","6","0","9","0","18","0","18","0","13","0","12","0","15","0","14","0","109P1iO9i6q1q0bdQobiodQDoD619dqd","169","Healing-D-Vision"
"Supa Fova feat. Jenny F.","5","0","3","0","4","0","-1","0","-1","0","6","0","6","0","8","0","8","0","1i6ObblIOoPo6dDd9dIIq11l60qiD9di","170","I Need You"
"AKIRA YAMAOKA","5","0","3","0","5","0","13","0","13","0","7","0","7","0","11","0","12","0","0ib0Pqol08o9ODDq166iDl8oll061lPl","171","iFUTURELIST(DDR VERSION)"
"nc ft NRG Factory","5","0","3","0","5","0","-1","0","-1","0","9","0","10","0","12","0","12","0","qDi0dIlObi6Q6P8dQ1b8oIb188O9608o","172","INNOCENCE OF SILENCE"
"AKIRA YAMAOKA","3","0","3","0","4","0","-1","0","-1","0","6","0","6","0","9","0","9","0","O8qii6oiooPd8lbPqDo9QQioIoQQOoq0","173","INSIDE YOUR HEART"
"FinalOffset","5","0","3","0","4","0","-1","0","-1","0","8","0","8","0","10","0","11","0","IoI10obli6qd9DI699l61Pq16P9bboDd","174","Jam &amp; Marmalade"
"N.M.R-typeG","4","0","3","0","5","0","-1","0","-1","0","8","0","7","0","12","0","11","0","PQPloiIQ19QDP9QoI1ld9DlDObIOP689","175","KEEP ON MOVIN' 〜DMX MIX〜"
"LH MUSIC CREATION","6","0","3","0","5","0","-1","0","-1","0","8","0","8","0","12","0","11","0","qbQ9I1bI6q91Q18DlDlI1Qdi8q6Qlo91","176","La Bamba"
"DJ TAKA","5","0","3","0","4","0","-1","0","-1","0","6","0","7","0","10","0","11","0","8O86IP9dqQ8818ld9od8Q0PiDId6666P","177","LOGICAL DASH"
"Orange Lounge","5","0","3","0","5","0","12","0","11","0","8","0","7","0","8","0","9","0","D6oPIlOlIIOi1oq6Pd6011lqobbqOlib","178","LOVE IS ORANGE"
"Lala Moore with CoCoRo*Co","5","0","3","0","5","0","-1","0","-1","0","8","0","7","0","12","0","12","0","0Oo6iId08018qOqbo6O1o0QQ9D09Piq1","179","Make A Difference"
"NAOKI feat. PAULA TERRY","5","0","3","0","5","0","-1","0","-1","0","9","0","8","0","12","0","11","0","6P6dPoi66qO980bQo6l1QdlQIooq086l","180","MARIA(I believe...)"
"Jondi & Spesh","10","0","6","0","10","0","17","0","16","0","12","0","13","0","15","0","15","0","qOP1qP69o6id061o9bo8l6P11P1PQI1O","181","MAX 300 (Super-Max-Me Mix)"
"CLI-MAX S.","6","0","5","0","6","0","-1","0","-1","0","9","0","9","0","11","0","12","0","OQol16I968Q8bDoQd80i90oQQbqOdbdP","182","MAXIMIZER"
"Love machineguns","7","0","3","0","7","0","-1","0","-1","0","10","0","9","0","12","0","10","0","iI1iQD6Id0PiPDoo919doOooDib09I6b","183","MIDNIGHT SPECIAL"
"TOMOSUKE","5","0","3","0","5","0","-1","0","-1","0","8","0","9","0","10","0","13","0","b6dqPiOO6iO6b8D90Ido6QPOlObd9o98","184","Mind Parasite"
"Big Idea","5","0","4","0","5","0","-1","0","-1","0","8","0","8","0","10","0","10","0","OoQ6Oq81oIql8iIlbI6qldIlqoD1Di1I","185","Monkey Punk"
"dj TAKA feat.Erika","1","0","3","0","3","0","-1","0","-1","0","8","0","7","0","10","0","10","0","lI8qIDQPD0PDOdO1d01iOq8bI98iiQ1l","186","MOON"
"yu_tokiwa.djw","3","0","3","0","4","0","-1","0","-1","0","8","0","8","0","11","0","11","0","QQdIOi1Q81IqIoDqo80P0I1Q9qIdq1il","187","murmur twins"
"NAOKI feat. Becky Lucinda","3","0","3","0","4","0","-1","0","-1","0","7","0","7","0","11","0","9","0","Io1661doQq6OQ8DoobPq1IQlbqoDD1q8","188","My Only Shining Star"
"TAKA respect for J.S.B.","5","0","4","0","5","0","-1","0","-1","0","9","0","9","0","12","0","13","0","81qibDQqq8idiD1lQqq0qdqD6i6q1QDb","189","No.13"
".3k","8","0","5","0","11","0","-1","0","-1","0","12","0","12","0","15","0","16","0","IP00ID9bdlOoP9o9lo1qlO0D1Pdo9I8l","190","PARANOiA-Respect-"
"NAOKI feat. PAULA TERRY","6","0","4","0","5","0","-1","0","-1","0","8","0","7","0","10","0","10","0","8PQooio0ilPoQ8Di66I19QOQP90Ddbdi","191","PASSION OF LOVE"
"Naoto Suzuki feat. Martha","5","0","3","0","4","0","-1","0","-1","0","9","0","9","0","11","0","11","0","l609D9lOqbDP6iIld1dI18l888dODQ6Q","192","Polovtsian Dances And Chorus"
"UZI-LAY","5","0","3","0","5","0","-1","0","-1","0","7","0","8","0","12","0","9","0","OI01b6I6OQ9IdQidll890oqlOPDql9ol","193","PUT YOUR FAITH IN ME 〜SATURDAY NIGHT MIX〜"
"act deft","5","0","4","0","5","0","-1","0","-1","0","7","0","8","0","10","0","11","0","D01oOb0IOQ1bbIIdi88O0d80Qo9dblqP","194","Quick Master"
"dj TAKA","5","0","3","0","6","0","-1","0","-1","0","6","0","7","0","8","0","11","0","QI96D9PqIQ90PidPQPdbqbi0q9q8lQbb","195","Quickening"
"dj TAKA","3","0","3","0","4","0","-1","0","-1","0","7","0","6","0","11","0","11","0","qbDidIlodPP6PqI00D18P6dDbioIdDPD","196","rainbow flyer"
"Ryu☆","4","0","4","0","4","0","-1","0","-1","0","7","0","7","0","11","0","10","0","0OQdlbo111ib1i88IdIPIbollD68Dii1","197","rainbow rainbow"
"Tatsh&NAOKI","6","0","4","0","6","0","-1","0","-1","0","8","0","8","0","11","0","12","0","81QD89Q6Ob911oOoobO0D98IQ1D1q60d","198","RED ZONE"
"Sota feat. Brenda V.","4","0","3","0","4","0","-1","0","-1","0","6","0","6","0","8","0","8","0","o9l8Id0D1lQdl1o9DDIPbO6q998lq8bd","199","Saturday Night Love"
"Shawn the Horny Master","5","0","3","0","4","0","-1","0","-1","0","7","0","7","0","10","0","11","0","16Pio809ID669Di8OoPblQO0lDq668dQ","200","Scorching Moon"
"nc ft. FINALFORCE","6","0","4","0","6","0","-1","0","-1","0","9","0","9","0","13","0","12","0","oIQo8IQPbobO6bioiqqdP6P6O8898DOQ","201","SEDUCTION"
"NC feat. NRG Factory","6","0","3","0","6","0","-1","0","-1","0","8","0","9","0","12","0","12","0","PO1olqI8DiDiO0loDIIQ08oPd910bQbQ","202","SEDUCTION(Vocal Remix)"
"亜熱帯マジ-SKA爆弾","4","0","3","0","3","0","-1","0","-1","0","8","0","7","0","10","0","12","0","idI1dd69l1il16P0d9DoldDP1QDP0911","203","Ska Ska No.3"
"SySF. feat. Donna Burke","3","0","3","0","3","0","-1","0","-1","0","7","0","7","0","11","0","10","0","QD0q90q9PIl9PdqqO9D9DO09DbiODOI6","204","Star Gate Heaven"
"TЁЯRA","6","0","3","0","6","0","-1","0","-1","0","8","0","8","0","11","0","9","0","6qQb9I0QbD89IID9b9iOPdO6dbqPDolQ","205","STARS☆☆☆(2nd NAOKI's style)"
"L.E.D. feat. Sana","5","0","4","0","4","0","-1","0","-1","0","6","0","6","0","9","0","9","0","ODQOP1dblD6q8d160Ioi0dIoQloI6oQO","206","THE SHINING POLARIS"
"WILMA DE OLIVEIRA","4","0","3","0","4","0","-1","0","-1","0","7","0","8","0","11","0","10","0","idDdoI9bD186blQ9Q8610bIQqb86dilo","207","TIERRA BUENA"
"nc ft. Dreamscanner","5","0","3","0","4","0","-1","0","-1","0","7","0","8","0","11","0","10","0","lQbiI10Qo9DdD8liqPIiob61qDO9d861","208","TOMORROW"
"dj TAKA","4","0","3","0","4","0","-1","0","-1","0","7","0","8","0","9","0","10","0","D1D88PPI0PDQqOq00OI6QI1o6dPolqlI","209","Tomorrow Perfume"
"jun feat. Schanita","4","0","4","0","4","0","-1","0","-1","0","7","0","8","0","10","0","10","0","oD6l698q0bQqoIOi0Dd66bqObII8QqDl","210","TRUE&hearts;LOVE"
"S.F.M.P.","4","0","3","0","4","0","-1","0","-1","0","6","0","6","0","8","0","8","0","doqDbod0d81qP6PoPiP8b0P00PD8oboD","211","Try 2 Luv. U"
"SDMS","4","0","3","0","4","0","-1","0","-1","0","6","0","8","0","9","0","10","0","99P8bDO1PqlddQqo81QOIPO60lPQqlO8","212","un deux trois"
"南さやか(BeForU) with platoniX","3","0","2","0","2","0","-1","0","-1","0","6","0","5","0","8","0","11","0","oiQliqIliq91Dl169ldqbb18OPblOb1i","213","Under the Sky"
"Tatsh","7","0","4","0","7","0","15","0","15","0","10","0","10","0","13","0","13","0","PQQd6lQlDqilqliI0IobolqIDlo0Iboq","214","Xepher"
"Yuzo Koshiro","5","0","4","0","5","0","-1","0","-1","0","7","0","8","0","10","0","10","0","D8I68Ibib9ldQDIPIQdO6lqI61PQlPO9","215","You gotta move it (feat. Julie Rugaard)"
"Des-ROW・組スペシアルr","4","0","3","0","4","0","-1","0","-1","0","6","0","7","0","9","0","9","0","ql1Q8P100IIlbl0Pdi08I8qD900idqQq","216","カゲロウ"
"あさき","7","0","3","0","7","0","-1","0","-1","0","10","0","10","0","14","0","14","0","9idOOIdDO01D8PO06bOPPbOIOoiQ8O0P","217","この子の七つのお祝いに"
"BeForU","4","0","4","0","5","0","-1","0","-1","0","9","0","8","0","13","0","10","0","I9iODl9bl1d8PilOilii9Dd19PP6QI66","218","チカラ"
"RIYU from BeForU","4","0","3","0","4","0","-1","0","-1","0","7","0","7","0","13","0","11","0","Ibd8d0bllqOo61lqlQPd8lP01D0Qb9o6","219","ヒマワリ"
"TЁЯRA","4","0","3","0","5","0","-1","0","-1","0","7","0","7","0","11","0","11","0","6iq1dqQ1PDQlDO0bio0l89oDDDi6b0oD","220","華爛漫 -Flowers-"
"あさき","3","0","4","0","4","0","-1","0","-1","0","7","0","7","0","11","0","10","0","qiDOD0iidOli9l0qbP6IbOD19OQ8D8Po","221","月光蝶"
"Des-ROW・組","4","0","3","0","4","0","-1","0","-1","0","8","0","7","0","10","0","12","0","POoldOddQl9Dbq8b6iOP0iPoQd6IdOPl","222","男々道"
"Morning Blue Dragon","3","0","4","0","5","0","-1","0","-1","0","7","0","8","0","11","0","11","0","ibI0QllidqQ089ql8dob6bIoodbbIoqq","223","怒れる大きな白い馬"
"DJ YOSHITAKA feat G.S.C license","4","0","3","0","4","0","13","0","13","0","7","0","8","0","13","0","11","0","Io1D1l9QiDo6IDObd8qo1Q9lQ6iollQ9","224","虹色"
"TЁЯRA","4","0","4","0","4","0","-1","0","-1","0","8","0","8","0","11","0","11","0","DQO6qbiP6dldo6IIqlob9i8dqiqOio6o","225","夢幻ノ光"
"D-crew 2 US","5","0","3","0","4","0","-1","0","-1","0","6","0","7","0","11","0","10","0","O0O1lPoIIIQ9lbOi90odI0Di80qq16lo","226","A thing called LOVE"
"KTz","-1","0","-1","0","-1","0","13","0","14","0","-1","0","-1","0","-1","0","-1","0","Oo91QPdQDd1Od1oQI6IIldbQ1lQ88bO0","227","AM-3P (&quot;CHAOS&quot; Special)"
"Reven-G改","12","0","5","0","11","0","-1","0","-1","0","14","0","13","0","16","0","15","0","6bdDP91o1II60Qo99D60QI81o6oPlI80","228","Arrabbiata"
"NAOKI","-1","0","-1","0","-1","0","15","0","14","0","-1","0","-1","0","-1","0","-1","0","6boDb6Pdd6QDP1oPdlQ0Qo1ld0lQb6P6","229","B4U (&quot;VOLTAGE&quot; Special)"
"Zektbach","5","0","3","0","5","0","-1","0","-1","0","8","0","8","0","12","0","12","0","PP9QDQ0IQQID00P61d8qdDdP09b19iiI","230","Blind Justice 〜Torn souls, Hurt Faiths 〜"
"DJ YOSHITAKA","5","0","4","0","5","0","-1","0","-1","0","7","0","6","0","11","0","11","0","oQ0bqIQ8DdPlilO000DQloOo6Od8IdQ6","231","Bloody Tears(IIDX EDITION)"
"NAOKI","-1","0","-1","0","-1","0","13","0","13","0","-1","0","-1","0","-1","0","-1","0","d11l6160iiP1bDbQPQl0Pi8lddlld80i","232","BRILLIANT 2U (&quot;STREAM&quot; Special)"
"DJ YOSHITAKA feat.A/I","5","0","4","0","5","0","-1","0","-1","0","8","0","8","0","13","0","13","0","Iqo9PQiPbq8Q0I6io6lPIDi608lQqbbq","233","CaptivAte〜誓い〜"
"NAOKI","-1","0","-1","0","-1","0","12","0","12","0","-1","0","-1","0","-1","0","-1","0","1O9P1DqQQqObOQPP6Il989qDqi0bQ8Qb","234","D2R (&quot;FREEZE&quot; Special)"
"N & S","-1","0","-1","0","-1","0","18","0","18","0","-1","0","-1","0","-1","0","-1","0","PooiIP8qP0IPd9D1Ibi6l9bDoqdi9P8O","235","DEAD END (&quot;GROOVE RADAR&quot; Special)"
"Kaori Nishina","5","0","3","0","3","0","-1","0","-1","0","7","0","6","0","8","0","8","0","ii119ll8dOQ8IQqi1IOP1o8DIQbqo8Pi","236","dream of love"
"NAOKI","-1","0","-1","0","-1","0","9","0","8","0","-1","0","-1","0","-1","0","-1","0","dd8loQPD0I86DiIql8b8o9qbO8l0d9Q9","237","DYNAMITE RAVE (&quot;AIR&quot; Special)"
"SySF.","5","0","3","0","4","0","-1","0","-1","0","6","0","6","0","11","0","10","0","9d0oQdIolIb0Po9b06QOiOP60IQlb8qO","238","Electrified"
"LEA DROP feat. Ant Johnston","4","0","3","0","4","0","-1","0","-1","0","7","0","6","0","10","0","9","0","61Q6Q8OOiiQIbIi0l6l10qQ0Ii8P0Qb6","239","Every Day, Every Night(NM STYLE)"
"SySF.","5","0","4","0","5","0","-1","0","-1","0","9","0","8","0","12","0","12","0","98PiPl8P0qlq8dd8P60Iq6dq899lbQDI","240","Feelings Won't Fade(Extend Trance Mix)"
"泉 陸奥彦","4","0","4","0","5","0","-1","0","-1","0","8","0","8","0","12","0","11","0","PlqI9Q1I6qdqb0IolOl1qP0bOQP0ibPP","241","FIRE"
"Scotty D. revisits U1","4","0","4","0","5","0","-1","0","-1","0","7","0","8","0","13","0","13","0","O111bDqd0oQ1O8IqiIDQq091l1IDO8oI","242","Flow (Jammin' Ragga Mix)"
"Shawn the Horny Master feat. ChiyoTia","5","0","3","0","5","0","-1","0","-1","0","9","0","9","0","13","0","13","0","DQI8O1bD9Oi9i90i0DqqOqbll91IiQI1","243","Fly away -mix del matador-"
"dj TAKA","5","0","3","0","4","0","12","0","12","0","7","0","8","0","9","0","10","0","dd8PodO0ilIQQb0P0OQPDiodI9biP91d","244","Freeway Shuffle"
"Cheki-ROWS","5","0","4","0","5","0","-1","0","-1","0","8","0","7","0","12","0","12","0","b8dqI0Iq60iQPPobiiQ8O6PiIqdodDiQ","245","GIRIGILI門前雀羅"
"NAOKI in the MERCURE","4","0","3","0","4","0","-1","0","-1","0","7","0","7","0","12","0","11","0","ddib8P601q0Oqdb0Pl8oqobq9DD608P1","246","L'amour et la libert&eacute;(Darwin &amp; DJ Silver remix)"
"JET GIRL SPIN","4","0","3","0","4","0","-1","0","-1","0","10","0","8","0","13","0","11","0","oOdl0d1IOo0bd008DOl91606Pd0PP86d","247","MARS WAR 3"
"kobo uniting Marsha & D.","4","0","4","0","5","0","-1","0","-1","0","7","0","7","0","10","0","12","0","olOOdb66Q0bP0dqQPdIdQ8IPQql8D6bi","248","MOONSTER"
"nc ft. 触電","5","0","4","0","7","0","-1","0","-1","0","9","0","8","0","12","0","11","0","i11d86DOOdOb8Pbb1QqIilQI9Idib8PP","249","Music In The Rhythm"
"鍋嶋圭一","10","0","6","0","10","0","17","0","18","0","11","0","12","0","16","0","15","0","iP6qIl6lD809098io0OiPP08Ii18I6OI","250","NGO"
"αTYPE-300","12","0","7","0","11","0","18","0","18","0","15","0","15","0","17","0","16","0","io1d1Dq80Di08O1Pb9bQ8DoP9d9Ooi90","251","PARANOiA 〜HADES〜"
"Black∞Hole","9","0","6","0","9","0","17","0","16","0","13","0","12","0","14","0","14","0","dD6PqbboDil89DPIID86Pldi6obI1b8l","252","Pluto"
"2MB","12","0","5","0","12","0","18","0","18","0","14","0","14","0","18","0","17","0","0IldoDlDQql99DqQo0Qq9ioPIiiPoIoi","253","Pluto Relinquish"
"NAOKI underground","6","0","3","0","5","0","-1","0","-1","0","9","0","9","0","11","0","11","0","1PiiOiQoq8dbdi819q9Ild966o6o19QQ","254","Poseidon"
"jun feat. PAULA TERRY","5","0","3","0","5","0","12","0","11","0","6","0","6","0","9","0","9","0","60qiDd000qDIobO0QI916i18bbolO919","255","Raspberry&#9825;Heart(English version)"
"Mr.Saturn","5","0","3","0","7","0","-1","0","-1","0","9","0","9","0","13","0","13","0","dDldd8OlbPQDoD80dO0DiDOiIoP1PQoD","256","Saturn"
"Fracus","5","0","3","0","5","0","-1","0","-1","0","7","0","8","0","10","0","10","0","qo6Ib8QqqDd16i91d8dlQoqIq08bo68d","257","Shades of Grey"
"U1 Reincarnates w/ Leah","4","0","4","0","5","0","-1","0","-1","0","8","0","7","0","11","0","11","0","bi1Obd9i99P0O9PqQ1l1P6P6o1IOi11P","258","Silver Platform - I wanna get your heart -"
"nc ft HARDCORE NATION","6","0","3","0","6","0","-1","0","-1","0","9","0","9","0","12","0","13","0","o1QoI9dQ1i89bPl1oDl6999861obD0qI","259","SOUL CRASH"
"SySF. feat. Donna Burke","6","0","4","0","5","0","-1","0","-1","0","8","0","9","0","13","0","12","0","6I0d1d8d690dl8boOb60O1Iq1Ddi6P8d","260","Star Gate Heaven (FUTURE LOVE Mix)"
"TЁЯRA","6","0","3","0","5","0","-1","0","-1","0","9","0","10","0","10","0","9","0","bq1O60D90Qbb6iPoi90Ii9olQOIO0Ib1","261","STARS☆☆☆（Re-tuned by H&Lambda;L） - DDR EDITION -"
"DAISUKE ASAKURA","5","0","3","0","5","0","-1","0","-1","0","8","0","8","0","11","0","11","0","b0DP0oqbid0iIQ6D88dDIiiDiq9oi19Q","262","stealth"
"jun with Alison","4","0","3","0","5","0","12","0","12","0","7","0","8","0","11","0","12","0","61IoqIoODb6dlQlQqd99b90idO9QP9iI","263","SUNKiSS&hearts;DROP"
"DAISUKE ASAKURA ex.TЁЯRA","5","0","3","0","4","0","-1","0","-1","0","7","0","7","0","10","0","10","0","9bo00PqOIDoDbO6P1116b9obolOiqPo1","264","switch"
"kobo","6","0","5","0","6","0","-1","0","-1","0","10","0","10","0","15","0","16","0","POQQQqI8q69qP6Id8Ol01QI60OIoiil8","265","Trim"
"DE-SIRE改","8","0","3","0","8","0","16","0","15","0","12","0","12","0","16","0","15","0","b0QQ6OPD1dDqQ6D6IDQqlDd180Db609I","266","TRIP MACHINE PhoeniX"
"Tatsh feat. ヨーコ","4","0","3","0","5","0","-1","0","-1","0","8","0","8","0","11","0","10","0","ddD8OPQoIiQi0IbDOIIdQ6dDDbPQ9bIO","267","Trust -DanceDanceRevolution mix-"
"Black Rose Garden","8","0","4","0","8","0","-1","0","-1","0","12","0","12","0","14","0","15","0","olQl6Qoi0IbobI980q9Q0QIo9qlbq1PO","268","Unreal"
"Tatsh SN 2 Style","6","0","3","0","6","0","13","0","13","0","9","0","9","0","11","0","11","0","0b1660ibo0liI01ibOO6lD8olIb88qDi","269","Uranus"
"Caldeira feat.Teka Penteriche","5","0","2","0","5","0","-1","0","-1","0","7","0","7","0","11","0","11","0","o6I06bPq8dqIlllbQDPP8boqdq6iQ8Qb","270","Vem brincar"
"Tatsh+RayZY","4","0","3","0","4","0","13","0","13","0","6","0","7","0","10","0","11","0","6bIODbPoIDlOdO66b1id0q68qdQilDd6","271","Venus"
"Yasuhiro Abe","5","0","4","0","5","0","-1","0","-1","0","8","0","8","0","13","0","13","0","8idID0Pq0O68Qb0Q69P6IDldqI91qi1O","272","volcano"
"iconoclasm","4","0","1","0","4","0","-1","0","-1","0","7","0","9","0","12","0","12","0","PqPPDibPdD8qd88D0d01dqo6918b0POD","273","Votum stellarum -forest #25 DDR RMX-"
"Darwin","6","0","4","0","6","0","-1","0","-1","0","7","0","9","0","11","0","11","0","dbq9dPPOQ60ibOol0I6b9iQol9lD669D","274","Why not"
"The Motion Sick","3","0","2","0","4","0","-1","0","-1","0","6","0","7","0","8","0","8","0","i9Pidb18b9O8bdqQ91QQP0oPdIdIODq1","275","30 Lives (Up-Up-Down-Dance Mix)"
"NAOKI feat. SMiLE.dk","7","0","2","0","6","0","-1","0","-1","0","9","0","9","0","11","0","11","0","l0QP6DiIDIId0oiQiOl8q10DlI96OPiO","276","A Geisha's Dream"
"RE-VENGE","-1","0","-1","0","-1","0","14","0","13","0","-1","0","-1","0","-1","0","-1","0","P01qbiIoO6dqIIqo6Db9dqq1bI6ddbqI","277","AFRONOVA(X-Special)"
"NM feat. Alison Wade","4","0","3","0","5","0","-1","0","-1","0","7","0","7","0","11","0","10","0","d0IiI99IlI00lq606l68qOIl8PidiOlO","278","Beautiful Inside (Cube::Hard Mix)"
"dj TAKA VS Ryu☆","5","0","2","0","5","0","-1","0","-1","0","7","0","6","0","11","0","11","0","PO68qOQI1oo8iQidQ9iIi9o9PPOD9OP6","279","Blue Rain"
"Luv UNLIMITED","-1","0","-1","0","-1","0","13","0","12","0","-1","0","-1","0","-1","0","-1","0","0qP01Q60boPPlQ8qO6O6q89iI91Pl0PP","280","CANDY☆(X-Special)"
"日本少年","4","0","3","0","5","0","-1","0","-1","0","7","0","7","0","10","0","9","0","q1q8IlPI1111D8IqiQ190qIoP0b0bIIo","281","Chance and Dice"
"Bill Hamel feat. Kevens","6","0","2","0","5","0","12","0","12","0","7","0","8","0","11","0","11","0","I8ql1i90i80oDO0Q9qdIliIqPq66lQd0","282","Dance Celebration"
"Bill Hamel feat. Kevens","7","0","3","0","6","0","-1","0","-1","0","8","0","9","0","13","0","13","0","98D001P6b696O18P8qiIOl811bq1oQ16","283","Dance Celebration (System 7 Remix)"
"DDR ALL STARS","-1","0","-1","0","-1","0","13","0","13","0","-1","0","-1","0","-1","0","-1","0","6o966dbdo9dPIil6qQ09d1I0o0Qld611","284","Dance Dance Revolution(X-Special)"
"neuras feat. Yurai","5","0","2","0","5","0","-1","0","-1","0","7","0","6","0","10","0","9","0","Io9i8oQlbO1QqIdbbDPQl6b00OIPlIOP","285","Dance Floor"
"kobo feat. kr:ague","4","0","2","0","4","0","-1","0","-1","0","8","0","8","0","10","0","10","0","DdIbd6Pbl910P6QOqD6iQI0l0b1qdI8q","286","dazzle"
"Darwin","5","0","3","0","6","0","-1","0","-1","0","8","0","8","0","11","0","11","0","d9qd6lI0ddbQ068dq1oD8o6QDIi6blDO","287","Dream Machine"
"Jena Rose","4","0","2","0","5","0","7","0","7","0","6","0","7","0","9","0","9","0","8ll9P9bOloIqbI0O9PboP9li1iloIPPd","288","Flight of the Phoenix"
"sonic-coll. feat. frances maya","6","0","3","0","5","0","-1","0","-1","0","8","0","8","0","10","0","10","0","dQD6lbPO66DllOb1i0IoqDqbii0IOQi9","289","Flourish"
"DE-SIRE","-1","0","-1","0","-1","0","15","0","14","0","-1","0","-1","0","-1","0","-1","0","0D1618DDbol8bl9dP0lDdiD66ioIiidD","290","Healing Vision(X-Special)"
"OR-IF-IS","5","0","3","0","4","0","14","0","15","0","8","0","9","0","14","0","15","0","PIdPo9o0qOIiPDIIlbo9l9dObP81lQqi","291","Horatio"
